"Type","Tenor","Rate","Frequency"
"LIBOR",1/365,0.0029,NA
"LIBOR",30/365,0.0038,NA
"LIBOR",91/365,0.006,NA
"LIBOR",182/365,0.0091,NA
"LIBOR",1,0.0121,NA
"SWAP",2,0.0151,2
"SWAP",3,0.019,2
"SWAP",4,0.0223,2
"SWAP",5,0.0251,2
"SWAP",6,0.0276,2
"SWAP",7,0.0296,2
"SWAP",8,0.0313,2
"SWAP",9,0.0327,2
"SWAP",10,0.0339,2
